
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
740,Ryan Vogelsong,38,PIT,24,23,19,1,1,0,0,0,1,0,0,1,13,.053,.143,.053,.195,-44,1,0,1,2,0,0,1
741,Joey Votto*,32,CIN,158,677,556,101,181,34,2,29,97,8,1,108,120,.326,.434,.550,.985,160,306,16,5,0,8,15,*3/D
742,Michael Wacha,24,STL,27,45,39,1,1,0,0,0,0,0,0,3,22,.026,.095,.026,.121,-65,1,1,0,3,0,0,1
743,Tyler Wagner,25,ARI,3,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
744,Adam Wainwright,34,STL,34,69,62,6,14,8,1,2,18,0,0,2,17,.226,.250,.484,.734,90,30,1,0,5,0,0,1
745,Kyle Waldrop*,24,CIN,15,23,22,1,5,1,0,0,1,0,1,1,5,.227,.261,.273,.534,43,6,0,0,0,0,0,/79D
746,Neil Walker#,30,NYM,113,458,412,57,116,9,1,23,55,3,1,42,84,.282,.347,.476,.823,118,196,11,1,0,3,3,*4
747,Brett Wallace*,29,SDP,119,256,217,19,41,10,0,6,20,0,0,29,83,.189,.309,.318,.627,70,69,2,9,0,1,3,53/D
748,Colin Walsh#,26,MIL,38,63,47,4,4,1,0,0,2,0,0,15,22,.085,.317,.106,.424,21,5,1,1,0,0,0,5/74
749,Zach Walters#,26,LAD,3,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/379
750,Adam Warren,28,CHC,29,4,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
751,Tony Watson*,31,PIT,70,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,1
752,Luke Weaver,22,STL,9,13,13,1,5,0,0,0,0,0,0,0,4,.385,.385,.385,.769,108,5,0,0,0,0,0,/1
753,Ryan Weber,25,ATL,16,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
754,Jemile Weeks#,29,SDP,17,57,50,5,7,1,1,0,2,1,0,3,14,.140,.204,.200,.404,10,10,1,1,3,0,0,4/5
755,Rickie Weeks,33,ARI,108,205,180,29,43,9,1,9,27,5,0,20,54,.239,.327,.450,.777,101,81,8,4,0,1,0,7/D9
756,Jayson Werth,37,WSN,143,606,525,84,128,28,0,21,69,5,1,71,139,.244,.335,.417,.752,99,219,17,4,0,6,0,*7/D9
757,Robert Whalen,22,ATL,6,11,10,0,2,0,0,0,0,0,0,0,3,.200,.200,.200,.400,9,2,0,0,1,0,0,/1
758,Andy Wilkins*,27,MIL,26,27,24,3,3,1,0,1,3,1,0,3,10,.125,.222,.292,.514,35,7,1,0,0,0,0,/39
759,Jerome Williams,34,STL,11,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
760,Trevor Williams,24,PIT,7,3,1,1,0,0,0,0,1,0,0,2,1,.000,.667,.000,.667,102,0,0,0,0,0,0,/1
